endpoint,split_kind,tl,acc_mae,viol_violation_rate
Clearance_mLminkg,assay,exact_only,0.5355695725259507,0.7339784799668732
Clearance_mLminkg,assay,satisficing@0.05,0.5420285539330033,0.5902002126726463
Clearance_mLminkg,assay,tobit,0.5398487409807458,0.6068401624215578
Clearance_mLminkg,document,exact_only,0.579719716313036,0.6888641368560996
Clearance_mLminkg,document,satisficing@0.05,0.5854776346429331,0.6457289312871582
Clearance_mLminkg,document,tobit,0.5821364609886208,0.6547548073531579
Clearance_mLminkg,random,exact_only,0.4605425867208225,0.7811874970318302
Clearance_mLminkg,random,satisficing@0.05,0.4686334645262325,0.5325897249168804
Clearance_mLminkg,random,tobit,0.4676436191944171,0.5529832640932533
Clearance_mLminkg,scaffold,exact_only,0.4824692620606688,0.8138107277730825
Clearance_mLminkg,scaffold,satisficing@0.05,0.4916848001523545,0.5714760548475781
Clearance_mLminkg,scaffold,tobit,0.4875860114646935,0.6300083811869757
Clearance_mLminkg,source,exact_only,0.667364134312304,0.4377713458755427
Clearance_mLminkg,source,satisficing@0.05,0.6729758997460111,0.4611673902556681
Clearance_mLminkg,source,tobit,0.6810375918116165,0.4413892908827785
Clearance_mLminkg,threshold,exact_only,0.8286800936004891,
Clearance_mLminkg,threshold,satisficing@0.05,0.8276625983175426,
Clearance_mLminkg,threshold,tobit,0.823425558097909,
HalfLife_hr_sub,assay,exact_only,0.5819983576562789,0.6425369410839404
HalfLife_hr_sub,assay,satisficing@0.05,0.5925755702496714,0.5191842717909009
HalfLife_hr_sub,assay,tobit,0.5918974515092618,0.5149455973384971
HalfLife_hr_sub,document,exact_only,0.607428170860657,0.6141106886616725
HalfLife_hr_sub,document,satisficing@0.05,0.6177445762330228,0.5437600444945374
HalfLife_hr_sub,document,tobit,0.616833893195686,0.5554234818845042
HalfLife_hr_sub,random,exact_only,0.417506289305902,0.753371248218346
HalfLife_hr_sub,random,satisficing@0.05,0.4279255400797614,0.4706683961023413
HalfLife_hr_sub,random,tobit,0.4334670147710138,0.4348824158982952
HalfLife_hr_sub,scaffold,exact_only,0.4350689281896511,0.7637650191762801
HalfLife_hr_sub,scaffold,satisficing@0.05,0.4443911164983204,0.5381710398728003
HalfLife_hr_sub,scaffold,tobit,0.445157214536073,0.4787392995038649
HalfLife_hr_sub,source,exact_only,0.6932403976547856,0.5772968197879859
HalfLife_hr_sub,source,satisficing@0.05,0.7189639146847646,0.5892226148409894
HalfLife_hr_sub,source,tobit,0.7124946292422046,0.564708480565371
HalfLife_hr_sub,threshold,exact_only,0.7925424543178586,
HalfLife_hr_sub,threshold,satisficing@0.05,0.7751420044580205,
HalfLife_hr_sub,threshold,tobit,0.8107878700009854,
Solubility_nM,assay,exact_only,0.6886774071144539,0.7868024420262586
Solubility_nM,assay,satisficing@0.05,0.7290709074727667,0.5666030838016166
Solubility_nM,assay,tobit,0.7419282849841383,0.5332779064209909
Solubility_nM,document,exact_only,0.7425581593853083,0.6950435560265664
Solubility_nM,document,satisficing@0.05,0.7850556056852613,0.6284364922614071
Solubility_nM,document,tobit,0.7987761732235461,0.6107217571329528
Solubility_nM,random,exact_only,0.4999367729702446,0.8006786201271622
Solubility_nM,random,satisficing@0.05,0.5349401514104003,0.482936777738116
Solubility_nM,random,tobit,0.542109437000107,0.4142932976735435
Solubility_nM,scaffold,exact_only,0.526342565190928,0.8038606074842898
Solubility_nM,scaffold,satisficing@0.05,0.5591567252497385,0.5210400719155419
Solubility_nM,scaffold,tobit,0.5676307831786335,0.4550678622900984
Solubility_nM,source,exact_only,1.040637805961224,0.5049874624782636
Solubility_nM,source,satisficing@0.05,1.0529156891582403,0.5280529658875843
Solubility_nM,source,tobit,1.0341892595478417,0.5196530299063064
Solubility_nM,threshold,exact_only,0.9913888277376124,
Solubility_nM,threshold,satisficing@0.05,0.902063228164782,
Solubility_nM,threshold,tobit,0.891797860190198,
